[2018-06-28 11:07:44,843] No Task Now!
[2018-06-28 11:54:31,312] Waiting other task to be done
[2018-06-28 11:55:15,898] Waiting other task to be done
[2018-06-28 11:57:50,811] Implement Zmap Task:5b345b798a234a1df02f36fe
[2018-06-28 11:57:53,812] Waiting other task to be done
[2018-06-28 11:58:36,172] Implement Zmap Task:5b345b798a234a1df02f36fe
[2018-06-28 11:58:39,175] No Task Now!
[2018-06-28 11:59:55,442] No Task Now!
[2018-06-28 11:59:58,443] Implement Zmap Task:5b345d3e8a234a1df02f36ff
[2018-06-28 12:00:01,446] Waiting other task to be done
[2018-06-28 12:26:59,801] No Task Now!
